Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
31.88,52.97,49.87,Đất thịt tơi xốp,Cây bông,26,2,22,Urea
33.94,55.33,48.3,Đất sét,Cây chè,17,4,14,Urea
27.97,47.65,45.75,Đất thịt tơi xốp,Cây lúa,8,2,39,14-35-14
29.43,65.58,51.3,Đất sét,Cây bắp,26,0,14,DAP
29.37,58.44,44.49,Đất thịt tơi xốp,Cây mía,28,0,21,10-26-26
27.43,56.68,24.36,Đất sét,Cây chuối,19,0,36,14-35-14
32.66,59.5,27.0,Đất thịt tơi xốp,Các loại đậu,33,0,4,DAP
25.17,43.89,65.91,Đất thịt tơi xốp,Khoai tây,33,2,0,Urea
27.51,55.86,41.39,Đất thịt tơi xốp,Cây đậu phộng (Lạc),14,0,37,10-26-26
26.81,58.78,49.15,Đất sét,Các loại hạt (hạt mè, hạt  cải),14,2,10,28-28
29.29,69.9,43.81,Đất thịt tơi xốp,Cây bắp,28,0,21,Urea
32.07,63.03,39.38,Đất cát,Cây bắp,42,3,0,14-35-14
30.29,69.78,31.58,Đất thịt tơi xốp,Cây mía,15,0,36,17-17-17
22.46,48.46,43.17,Đất sét,Cây chè,17,0,23,17-17-17
24.89,41.79,54.45,Đất thịt tơi xốp,Khoai tây,15,8,19,Urea
29.43,62.46,43.26,Đất thịt tơi xốp,Cây đậu phộng (Lạc),0,8,30,28-28
40.0,76.58,43.4,Đất sét,Các loại đậu,16,14,19,20-20
33.82,63.87,30.01,Đất thịt tơi xốp,Cây chuối,12,1,35,Urea
36.91,75.0,34.75,Đất sét,Cây chuối,8,4,38,28-28
29.11,66.22,57.05,Đất thịt tơi xốp,Cây mía,15,15,14,28-28
37.61,71.93,31.01,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),8,2,33,DAP
23.97,42.57,33.9,Đất mùn,Khoai tây,5,12,16,28-28
21.48,43.69,41.22,Đất cát,Các loại hạt (hạt mè, hạt  cải),13,3,10,Urea
28.56,69.25,43.73,Đất đỏ bazan,Cây đậu phộng (Lạc),34,0,3,20-20
24.78,56.42,25.51,Đất sét,Cây mía,14,13,10,17-17-17
28.78,60.98,46.86,Đất sét,Millets,18,1,13,20-20
25.83,42.5,60.32,Đất sét,Cây bông,7,3,5,28-28
21.27,59.98,35.59,Đất đỏ bazan,Cây lúa,9,1,37,10-26-26
27.79,46.46,33.4,Đất thịt tơi xốp,Khoai tây,13,0,38,10-26-26
36.34,67.59,43.01,Đất sét,Các loại hạt (hạt mè, hạt  cải),40,0,0,DAP
26.57,52.98,56.7,Đất cát,Cây chè,3,7,32,20-20
27.78,57.1,42.64,Đất thịt tơi xốp,Cây đậu phộng (Lạc),10,0,37,28-28
26.99,44.73,51.9,Đất cát,Các loại hạt (hạt mè, hạt  cải),6,0,18,17-17-17
29.83,64.29,45.68,Đất thịt tơi xốp,Cây mía,16,0,13,20-20
23.56,56.69,37.04,Đất đỏ bazan,Các loại đậu,7,0,3,10-26-26
31.85,62.5,31.51,Đất cát,Khoai tây,36,0,0,17-17-17
26.79,58.42,26.41,Đất cát,Các loại hạt (hạt mè, hạt  cải),8,11,9,28-28
27.02,55.09,35.69,Đất đỏ bazan,Cây lúa,36,0,0,Urea
25.4,59.23,35.65,Đất sét,Cây lúa,38,1,0,20-20
28.2,47.14,48.34,Đất thịt tơi xốp,Cây chè,37,0,0,17-17-17
34.32,61.36,44.53,Đất thịt tơi xốp,Cây bắp,11,11,11,DAP
34.8,76.07,30.81,Đất đỏ bazan,Cây chè,7,0,38,28-28
33.52,65.3,40.12,Đất sét,Khoai tây,9,14,16,20-20
29.16,51.25,37.86,Đất đỏ bazan,Cây chuối,17,3,15,Urea
33.55,69.48,37.73,Đất sét,Cây bông,42,4,0,10-26-26
35.14,68.94,36.73,Đất cát,Cây lúa,12,0,32,10-26-26
31.21,67.98,48.85,Đất thịt tơi xốp,Cây lúa,10,0,37,28-28
27.89,53.82,40.72,Đất thịt tơi xốp,Cây chè,14,0,45,Urea
39.78,72.13,29.77,Đất sét,Cây bắp,7,2,41,28-28
33.64,62.64,37.52,Đất đỏ bazan,Cây mía,9,0,42,20-20
26.29,44.72,37.75,Đất sét,Các loại đậu,17,0,36,20-20
27.42,62.2,57.15,Đất cát,Millets,38,0,4,14-35-14
32.51,53.53,45.88,Đất đỏ bazan,Cây chè,36,0,2,28-28
33.57,54.09,68.48,Đất thịt tơi xốp,Cây mía,8,9,26,28-28
30.06,57.82,29.93,Đất cát,Cây lúa,38,0,0,Urea
40.0,75.94,34.96,Đất đỏ bazan,Millets,12,2,10,28-28
21.36,46.46,35.37,Đất sét,Cây bông,23,1,21,DAP
30.85,62.03,23.42,Đất sét,Cây bông,4,10,26,14-35-14
32.9,63.12,47.43,Đất thịt tơi xốp,Cây đậu phộng (Lạc),15,16,20,14-35-14
29.42,72.78,42.89,Đất sét,Cây mía,39,2,0,20-20
38.27,63.65,41.45,Đất sét,Khoai tây,12,4,35,28-28
25.08,61.53,34.32,Đất mùn,Cây chè,16,2,38,10-26-26
33.46,72.4,40.83,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),15,0,8,28-28
27.4,56.09,57.66,Đất sét,Cây lúa,11,11,16,17-17-17
31.91,46.26,41.51,Đất thịt tơi xốp,Các loại đậu,24,3,27,28-28
30.02,66.49,49.75,Đất mùn,Cây bắp,10,0,13,17-17-17
26.05,51.23,34.11,Đất mùn,Cây bắp,17,0,40,Urea
38.11,67.76,40.16,Đất mùn,Cây chè,12,0,45,14-35-14
25.82,44.33,29.18,Đất mùn,Cây chè,10,4,37,Urea
25.24,43.61,39.67,Đất mùn,Khoai tây,2,22,14,14-35-14
36.49,65.48,39.34,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),14,0,32,10-26-26
23.39,59.65,40.74,Đất sét,Cây lúa,16,0,14,10-26-26
29.61,70.12,42.17,Đất đỏ bazan,Cây đậu phộng (Lạc),14,15,13,14-35-14
33.0,55.09,52.37,Đất thịt tơi xốp,Các loại đậu,17,0,37,Urea
32.12,68.28,42.26,Đất đỏ bazan,Cây đậu phộng (Lạc),8,17,20,14-35-14
33.34,73.86,48.0,Đất sét,Khoai tây,7,4,29,10-26-26
29.17,64.55,46.56,Đất cát,Cây đậu phộng (Lạc),23,1,20,10-26-26
24.82,45.77,51.47,Đất sét,Cây bông,23,2,24,17-17-17
27.19,46.21,27.99,Đất mùn,Cây mía,28,0,16,14-35-14
34.5,63.22,50.73,Đất mùn,Khoai tây,44,0,1,28-28
31.98,45.3,30.75,Đất mùn,Các loại đậu,36,0,0,Urea
31.31,58.21,49.13,Đất sét,Các loại hạt (hạt mè, hạt  cải),8,20,21,20-20
31.7,73.98,42.06,Đất mùn,Các loại đậu,7,9,31,Urea
30.25,60.34,33.5,Đất cát,Cây đậu phộng (Lạc),27,1,28,20-20
38.47,55.14,50.1,Đất đỏ bazan,Khoai tây,13,0,41,20-20
35.84,62.15,67.16,Đất cát,Millets,3,9,26,28-28
26.29,62.82,38.28,Đất đỏ bazan,Cây đậu phộng (Lạc),8,14,16,20-20
35.77,67.17,42.53,Đất thịt tơi xốp,Cây bắp,13,1,32,10-26-26
27.14,68.62,46.27,Đất cát,Cây chuối,9,0,39,DAP
32.99,70.55,34.22,Đất mùn,Cây lúa,23,0,20,14-35-14
33.14,50.64,55.05,Đất mùn,Cây bắp,8,0,39,28-28
25.7,57.86,20.0,Đất mùn,Cây đậu phộng (Lạc),10,0,38,DAP
27.27,42.2,47.49,Đất mùn,Cây chuối,10,16,18,17-17-17
25.65,55.02,37.37,Đất đỏ bazan,Cây chè,41,3,2,17-17-17
28.48,55.48,25.55,Đất mùn,Cây bắp,23,0,23,10-26-26
26.12,60.43,58.13,Đất thịt tơi xốp,Cây bông,11,0,11,17-17-17
22.99,44.67,30.17,Đất thịt tơi xốp,Cây lúa,18,0,16,17-17-17
35.57,70.66,40.03,Đất thịt tơi xốp,Cây chuối,42,0,0,10-26-26
25.78,57.76,65.12,Đất thịt tơi xốp,Cây chè,13,0,40,28-28
38.93,72.28,67.64,Đất đỏ bazan,Cây bông,25,0,24,DAP
34.4,70.85,53.05,Đất thịt tơi xốp,Cây mía,12,12,13,20-20
23.28,45.27,43.77,Đất cát,Cây mía,19,0,21,14-35-14
29.27,65.89,70.0,Đất cát,Cây chuối,12,4,35,17-17-17
28.06,44.09,58.46,Đất đỏ bazan,Cây chè,10,10,16,10-26-26
29.55,60.62,45.99,Đất cát,Cây đậu phộng (Lạc),23,0,25,28-28
25.91,42.33,27.89,Đất mùn,Các loại hạt (hạt mè, hạt  cải),11,16,8,17-17-17
29.91,45.99,64.48,Đất cát,Cây bông,42,1,0,14-35-14
32.92,60.86,60.26,Đất sét,Cây bắp,37,1,0,DAP
36.6,61.48,20.0,Đất thịt tơi xốp,Cây bông,9,9,27,28-28
35.3,76.77,44.61,Đất đỏ bazan,Cây chè,8,0,42,DAP
32.46,62.03,48.0,Đất đỏ bazan,Cây bông,15,0,6,DAP
31.52,57.93,68.2,Đất sét,Cây bắp,12,4,26,20-20
28.54,55.75,38.08,Đất sét,Cây mía,25,4,18,10-26-26
26.33,58.16,43.91,Đất đỏ bazan,Cây đậu phộng (Lạc),10,11,22,Urea
31.55,50.78,32.59,Đất mùn,Cây lúa,34,4,0,20-20
25.7,62.98,30.45,Đất cát,Các loại đậu,8,14,29,20-20
33.51,66.81,32.19,Đất mùn,Cây lúa,24,4,17,17-17-17
33.19,62.86,37.31,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),45,0,0,DAP
24.07,54.47,28.69,Đất mùn,Các loại đậu,9,0,11,14-35-14
37.03,73.51,35.21,Đất mùn,Cây chè,11,3,36,DAP
29.52,56.55,31.92,Đất sét,Cây bông,5,11,33,20-20
20.55,42.03,63.54,Đất thịt tơi xốp,Cây đậu phộng (Lạc),11,16,16,14-35-14
33.35,71.63,38.11,Đất mùn,Cây mía,14,2,38,DAP
30.33,51.05,33.36,Đất sét,Cây bông,13,0,5,DAP
31.18,55.84,28.31,Đất sét,Millets,43,4,2,28-28
37.84,66.91,57.7,Đất cát,Các loại hạt (hạt mè, hạt  cải),45,0,0,Urea
32.56,68.67,23.64,Đất mùn,Cây chè,42,0,0,DAP
31.72,45.26,28.54,Đất sét,Cây bắp,35,0,2,17-17-17
31.1,45.98,25.78,Đất thịt tơi xốp,Khoai tây,39,0,2,28-28
29.8,59.73,35.64,Đất đỏ bazan,Cây đậu phộng (Lạc),9,0,11,Urea
33.62,63.24,36.1,Đất sét,Cây chè,25,0,20,10-26-26
34.15,57.16,39.48,Đất cát,Cây bông,26,4,24,17-17-17
29.13,53.38,49.08,Đất đỏ bazan,Cây mía,10,8,9,DAP
30.83,57.02,57.45,Đất mùn,Cây đậu phộng (Lạc),33,0,0,10-26-26
29.14,61.8,44.63,Đất mùn,Cây chè,6,16,9,10-26-26
26.79,61.62,45.64,Đất cát,Khoai tây,6,14,17,20-20
21.49,46.99,40.82,Đất cát,Cây bông,3,20,17,17-17-17
35.36,56.86,36.82,Đất mùn,Millets,38,3,0,DAP
25.98,56.09,45.29,Đất cát,Cây chè,27,1,21,Urea
25.86,45.62,35.68,Đất đỏ bazan,Cây đậu phộng (Lạc),40,1,2,DAP
29.91,60.03,58.5,Đất sét,Cây bông,44,0,2,17-17-17
27.33,55.62,31.28,Đất sét,Các loại đậu,39,0,0,DAP
34.51,68.73,69.9,Đất mùn,Cây đậu phộng (Lạc),14,12,11,14-35-14
32.14,71.89,41.21,Đất mùn,Các loại đậu,9,9,17,14-35-14
34.01,63.87,51.24,Đất sét,Cây chuối,19,3,20,DAP
30.01,59.57,35.04,Đất đỏ bazan,Khoai tây,4,9,34,DAP
35.19,65.14,22.12,Đất thịt tơi xốp,Khoai tây,6,2,28,10-26-26
28.81,54.94,41.6,Đất thịt tơi xốp,Cây đậu phộng (Lạc),42,0,0,Urea
30.77,55.44,46.67,Đất sét,Cây lúa,1,5,32,28-28
32.43,56.6,64.19,Đất đỏ bazan,Cây chuối,14,10,35,17-17-17
34.68,50.94,55.43,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),13,0,43,17-17-17
24.83,59.19,31.4,Đất sét,Cây lúa,40,0,3,17-17-17
28.86,73.5,29.53,Đất thịt tơi xốp,Cây mía,41,3,0,28-28
29.84,65.34,35.1,Đất cát,Cây đậu phộng (Lạc),5,0,9,14-35-14
38.76,56.94,56.53,Đất cát,Cây bông,5,0,14,14-35-14
35.24,66.47,51.44,Đất đỏ bazan,Cây bông,6,7,30,17-17-17
34.51,58.28,63.85,Đất sét,Millets,10,2,38,20-20
23.93,60.03,29.73,Đất thịt tơi xốp,Millets,12,2,10,DAP
28.0,58.95,32.66,Đất đỏ bazan,Các loại đậu,19,0,33,17-17-17
25.02,45.57,38.91,Đất thịt tơi xốp,Cây chè,39,0,0,20-20
30.76,50.1,44.85,Đất sét,Cây bắp,31,2,4,Urea
30.4,52.84,59.57,Đất sét,Cây bắp,12,8,13,Urea
34.55,61.85,66.2,Đất sét,Khoai tây,9,15,10,Urea
23.54,47.71,27.92,Đất đỏ bazan,Cây đậu phộng (Lạc),13,9,32,Urea
29.87,52.38,22.8,Đất thịt tơi xốp,Các loại đậu,13,1,7,28-28
34.57,55.72,20.0,Đất mùn,Cây mía,10,11,29,14-35-14
31.63,50.38,31.45,Đất sét,Cây lúa,17,0,15,10-26-26
31.73,51.82,37.23,Đất cát,Cây bắp,38,1,3,DAP
25.36,62.76,62.32,Đất sét,Cây đậu phộng (Lạc),3,6,33,14-35-14
36.64,57.29,24.08,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),3,8,26,10-26-26
32.1,65.89,70.0,Đất sét,Cây chuối,17,0,37,14-35-14
21.09,49.87,63.43,Đất đỏ bazan,Cây lúa,13,13,13,Urea
36.17,73.15,60.09,Đất thịt tơi xốp,Cây bông,42,4,2,17-17-17
38.68,76.72,57.16,Đất đỏ bazan,Cây chè,43,1,0,DAP
29.0,70.73,43.4,Đất mùn,Các loại hạt (hạt mè, hạt  cải),17,19,13,Urea
31.23,66.32,27.49,Đất đỏ bazan,Cây chuối,40,0,3,14-35-14
31.19,71.44,46.39,Đất mùn,Cây bắp,9,12,17,17-17-17
29.35,61.82,63.95,Đất cát,Các loại đậu,38,1,0,28-28
27.41,56.77,45.73,Đất sét,Cây mía,12,4,31,28-28
32.63,66.83,49.59,Đất đỏ bazan,Cây bông,8,0,13,28-28
34.33,58.34,39.98,Đất cát,Cây bông,26,0,23,17-17-17
26.71,51.41,32.41,Đất sét,Cây chè,8,8,26,14-35-14
30.66,66.4,52.44,Đất mùn,Các loại đậu,40,0,0,28-28
27.45,57.24,34.3,Đất sét,Các loại hạt (hạt mè, hạt  cải),43,0,2,28-28
30.59,56.93,49.01,Đất mùn,Cây bông,14,4,11,10-26-26
29.75,47.56,33.26,Đất sét,Cây bông,10,0,38,28-28
35.61,68.63,70.0,Đất đỏ bazan,Cây mía,25,0,15,28-28
31.43,54.96,40.98,Đất cát,Cây lúa,15,0,5,14-35-14
31.37,74.91,34.64,Đất đỏ bazan,Khoai tây,10,9,28,Urea
28.38,51.28,61.42,Đất cát,Cây mía,37,2,3,20-20
31.44,70.97,62.81,Đất sét,Cây lúa,18,0,39,17-17-17
39.45,73.14,24.99,Đất cát,Cây bắp,12,2,40,Urea
24.78,50.29,39.4,Đất thịt tơi xốp,Millets,43,2,0,17-17-17
25.7,52.75,36.55,Đất đỏ bazan,Cây lúa,19,1,14,10-26-26
29.06,71.99,38.56,Đất cát,Cây chè,8,14,18,DAP
26.27,55.47,33.28,Đất đỏ bazan,Cây chuối,13,1,38,28-28
33.49,63.84,32.92,Đất sét,Khoai tây,38,0,0,Urea
34.92,58.53,27.98,Đất sét,Cây bông,12,0,37,DAP
22.93,52.54,39.37,Đất cát,Cây bông,9,0,8,28-28
26.38,49.88,65.47,Đất thịt tơi xốp,Cây bắp,32,1,1,17-17-17
34.28,68.8,43.11,Đất mùn,Cây bông,9,7,23,14-35-14
35.49,70.58,34.23,Đất sét,Cây bắp,18,4,33,DAP
32.6,53.68,28.87,Đất sét,Các loại đậu,5,12,25,14-35-14
38.65,67.93,70.0,Đất mùn,Millets,10,1,40,28-28
39.15,68.25,46.6,Đất mùn,Cây mía,42,0,1,17-17-17
32.15,57.42,26.8,Đất đỏ bazan,Cây chuối,14,21,20,DAP
32.8,61.46,58.5,Đất cát,Cây chuối,7,9,29,14-35-14
39.01,65.01,46.91,Đất sét,Các loại đậu,43,4,0,28-28
32.04,64.28,62.11,Đất thịt tơi xốp,Cây đậu phộng (Lạc),15,3,36,14-35-14
24.88,43.56,53.5,Đất cát,Cây mía,14,0,19,28-28
24.12,50.26,37.62,Đất mùn,Cây chuối,13,0,37,Urea
27.71,53.42,37.98,Đất thịt tơi xốp,Cây bắp,41,0,3,20-20
32.91,64.18,51.89,Đất cát,Cây lúa,17,0,37,Urea
37.05,69.22,44.58,Đất thịt tơi xốp,Cây mía,11,20,20,17-17-17
30.03,65.12,38.84,Đất cát,Millets,22,0,20,28-28
23.9,43.28,43.12,Đất sét,Các loại đậu,22,3,21,17-17-17
30.41,63.03,49.09,Đất sét,Cây bắp,6,8,30,10-26-26
29.86,50.94,70.0,Đất cát,Cây mía,12,0,32,28-28
37.46,61.25,31.69,Đất sét,Cây chè,9,0,37,10-26-26
28.75,55.19,20.0,Đất mùn,Millets,3,4,34,17-17-17
24.86,58.35,61.89,Đất đỏ bazan,Cây chuối,14,0,38,17-17-17
27.63,58.09,46.23,Đất thịt tơi xốp,Cây lúa,22,3,20,DAP
29.59,65.88,21.2,Đất cát,Cây mía,40,2,1,20-20
28.41,61.99,31.54,Đất đỏ bazan,Cây bắp,11,0,13,17-17-17
24.22,59.75,30.07,Đất thịt tơi xốp,Khoai tây,16,3,42,20-20
37.05,66.11,38.47,Đất thịt tơi xốp,Các loại đậu,4,5,28,DAP
28.28,67.72,55.83,Đất đỏ bazan,Cây chè,12,4,9,DAP
31.39,61.78,70.0,Đất đỏ bazan,Cây bắp,14,15,12,10-26-26
28.51,55.93,40.33,Đất đỏ bazan,Cây bông,17,0,27,20-20
29.88,64.22,20.0,Đất sét,Các loại hạt (hạt mè, hạt  cải),7,7,32,14-35-14
25.28,50.64,66.87,Đất đỏ bazan,Các loại đậu,10,0,11,14-35-14
36.27,74.55,57.03,Đất cát,Cây bông,11,2,35,Urea
29.28,55.6,41.79,Đất mùn,Cây lúa,0,11,27,20-20
40.0,72.78,38.48,Đất đỏ bazan,Các loại đậu,7,10,32,Urea
25.08,45.08,31.07,Đất sét,Cây mía,5,23,14,14-35-14
29.35,67.05,31.67,Đất thịt tơi xốp,Cây bông,24,3,19,DAP
28.86,59.22,44.4,Đất cát,Cây chè,24,0,22,28-28
27.1,55.35,36.61,Đất thịt tơi xốp,Cây mía,25,0,15,28-28
28.09,50.46,25.38,Đất cát,Cây đậu phộng (Lạc),18,1,36,Urea
28.96,54.32,35.97,Đất cát,Cây đậu phộng (Lạc),14,3,43,10-26-26
27.67,57.87,33.61,Đất sét,Các loại đậu,40,2,0,10-26-26
29.34,49.57,20.01,Đất mùn,Cây bắp,9,18,19,17-17-17
28.57,50.93,44.78,Đất đỏ bazan,Cây bắp,32,0,0,20-20
38.15,59.18,55.78,Đất sét,Cây bông,12,20,14,14-35-14
23.08,62.96,20.0,Đất cát,Millets,4,14,25,14-35-14
37.11,70.83,56.74,Đất sét,Cây bông,3,8,30,DAP
36.28,71.99,35.88,Đất đỏ bazan,Cây chè,41,3,3,20-20
33.3,61.33,50.98,Đất thịt tơi xốp,Các loại đậu,20,0,23,DAP
26.17,53.24,51.31,Đất thịt tơi xốp,Cây đậu phộng (Lạc),27,0,20,DAP
34.55,58.92,68.9,Đất thịt tơi xốp,Cây chuối,10,0,36,14-35-14
34.69,78.28,43.78,Đất thịt tơi xốp,Các loại đậu,15,0,39,DAP
29.02,67.93,55.54,Đất sét,Các loại đậu,16,4,8,DAP
28.19,60.08,28.35,Đất đỏ bazan,Cây chè,35,0,0,28-28
38.69,61.57,53.46,Đất thịt tơi xốp,Cây bông,6,4,26,Urea
34.73,66.96,59.65,Đất sét,Các loại hạt (hạt mè, hạt  cải),28,2,15,Urea
25.55,62.37,41.64,Đất mùn,Cây bông,36,0,0,28-28
31.75,58.98,56.2,Đất sét,Các loại đậu,32,0,0,Urea
30.51,64.47,31.19,Đất cát,Cây lúa,35,0,4,20-20
24.18,53.12,59.3,Đất sét,Cây bắp,8,3,5,10-26-26
30.65,47.72,37.49,Đất sét,Cây bắp,39,0,2,DAP
29.91,59.7,54.67,Đất sét,Cây chè,9,0,40,28-28
34.12,63.6,27.97,Đất đỏ bazan,Cây bắp,26,0,21,DAP
30.51,52.48,23.64,Đất sét,Cây lúa,10,9,25,28-28
28.09,61.48,39.32,Đất thịt tơi xốp,Cây chè,39,0,0,28-28
24.12,53.65,35.22,Đất cát,Khoai tây,37,0,0,10-26-26
33.21,64.79,31.54,Đất sét,Cây mía,3,0,17,20-20
36.7,62.62,24.01,Đất đỏ bazan,Cây đậu phộng (Lạc),42,0,0,17-17-17
34.03,55.38,49.19,Đất cát,Cây bông,5,0,17,10-26-26
24.49,51.98,67.62,Đất sét,Cây mía,34,0,0,14-35-14
29.92,57.58,44.49,Đất mùn,Khoai tây,16,14,7,Urea
33.42,65.41,63.33,Đất thịt tơi xốp,Cây bắp,15,0,38,14-35-14
29.32,57.18,70.0,Đất sét,Khoai tây,12,7,26,20-20
27.49,54.22,40.06,Đất sét,Các loại hạt (hạt mè, hạt  cải),18,0,20,20-20
35.27,69.93,44.23,Đất cát,Khoai tây,38,0,3,20-20
34.35,67.37,55.82,Đất đỏ bazan,Cây bông,3,5,30,14-35-14
27.52,62.28,31.71,Đất cát,Các loại đậu,23,0,18,14-35-14
33.94,62.1,56.9,Đất đỏ bazan,Khoai tây,5,0,8,10-26-26
24.78,59.94,49.61,Đất sét,Cây mía,38,0,3,28-28
33.97,73.31,26.07,Đất cát,Cây chuối,8,0,18,20-20
34.04,73.0,36.41,Đất sét,Cây chè,6,23,23,20-20
29.03,51.28,59.83,Đất sét,Millets,37,2,0,Urea
24.13,65.79,35.41,Đất đỏ bazan,Cây chuối,14,0,36,Urea
37.53,67.28,40.79,Đất sét,Cây bắp,27,0,23,14-35-14
27.94,59.27,46.39,Đất thịt tơi xốp,Cây bông,33,1,0,10-26-26
26.2,66.49,58.35,Đất thịt tơi xốp,Cây chè,12,11,32,DAP
30.71,58.51,42.79,Đất cát,Cây bắp,38,0,4,28-28
37.97,62.65,56.53,Đất đỏ bazan,Khoai tây,6,4,15,DAP
35.46,70.84,62.84,Đất thịt tơi xốp,Cây bắp,9,0,38,20-20
30.08,61.49,52.42,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),5,0,6,10-26-26
33.82,61.25,59.51,Đất thịt tơi xốp,Cây bông,15,13,14,28-28
29.05,54.64,49.53,Đất sét,Cây lúa,11,0,6,10-26-26
40.0,72.25,45.19,Đất sét,Millets,16,0,36,DAP
22.51,50.31,30.59,Đất sét,Cây bắp,17,12,10,DAP
32.06,78.41,36.96,Đất mùn,Cây chuối,9,0,44,10-26-26
39.91,60.35,29.4,Đất mùn,Các loại hạt (hạt mè, hạt  cải),10,3,26,14-35-14
32.83,59.11,29.94,Đất sét,Cây chè,10,0,42,17-17-17
28.99,56.86,47.2,Đất đỏ bazan,Cây mía,19,0,22,DAP
31.08,73.05,43.81,Đất thịt tơi xốp,Cây chè,4,6,33,14-35-14
36.75,71.25,31.9,Đất cát,Cây lúa,10,3,38,17-17-17
29.59,64.77,26.04,Đất đỏ bazan,Cây lúa,40,0,0,17-17-17
29.95,61.65,70.0,Đất mùn,Cây mía,9,5,31,20-20
28.74,51.47,58.63,Đất sét,Cây bắp,9,11,35,28-28
37.6,71.43,54.12,Đất sét,Khoai tây,34,2,3,20-20
38.31,77.54,38.22,Đất thịt tơi xốp,Cây chuối,12,0,41,14-35-14
33.09,65.12,37.71,Đất đỏ bazan,Các loại đậu,19,0,24,20-20
36.17,64.23,54.97,Đất mùn,Các loại hạt (hạt mè, hạt  cải),33,0,4,14-35-14
40.0,58.41,25.99,Đất sét,Cây mía,16,0,16,DAP
23.4,62.09,20.0,Đất sét,Millets,9,3,38,20-20
22.76,48.08,34.55,Đất mùn,Cây bắp,37,4,0,Urea
23.01,46.97,52.66,Đất cát,Cây bắp,8,1,11,14-35-14
36.87,74.71,25.27,Đất cát,Cây đậu phộng (Lạc),12,0,34,17-17-17
26.86,50.54,67.65,Đất mùn,Các loại đậu,8,0,8,DAP
30.79,62.82,29.74,Đất thịt tơi xốp,Cây đậu phộng (Lạc),12,0,14,14-35-14
37.88,56.28,34.78,Đất cát,Các loại đậu,14,0,41,DAP
33.59,73.86,52.09,Đất cát,Các loại hạt (hạt mè, hạt  cải),24,0,19,17-17-17
24.23,40.87,63.97,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),14,8,13,20-20
29.22,68.58,68.54,Đất sét,Các loại đậu,5,12,28,10-26-26
34.83,74.84,38.55,Đất sét,Cây đậu phộng (Lạc),13,1,36,14-35-14
40.0,72.53,69.09,Đất mùn,Cây đậu phộng (Lạc),19,0,44,10-26-26
32.53,66.27,24.96,Đất đỏ bazan,Cây mía,24,0,22,14-35-14
34.05,57.39,35.01,Đất mùn,Millets,5,3,33,20-20
33.84,78.28,54.01,Đất cát,Khoai tây,10,8,31,Urea
26.13,59.47,53.78,Đất thịt tơi xốp,Cây lúa,6,0,6,Urea
32.31,65.98,51.84,Đất đỏ bazan,Cây chuối,10,11,8,28-28
27.78,63.49,36.53,Đất đỏ bazan,Cây bắp,19,0,13,10-26-26
30.03,59.76,24.55,Đất cát,Cây đậu phộng (Lạc),40,0,0,Urea
32.22,56.23,20.0,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),8,6,28,Urea
29.46,59.59,27.28,Đất cát,Các loại hạt (hạt mè, hạt  cải),23,3,18,17-17-17
28.6,61.06,46.54,Đất thịt tơi xốp,Khoai tây,1,20,15,Urea
36.31,72.79,46.6,Đất cát,Cây đậu phộng (Lạc),22,0,20,DAP
25.53,60.96,23.48,Đất thịt tơi xốp,Các loại đậu,32,0,0,14-35-14
32.69,55.03,46.23,Đất thịt tơi xốp,Cây bông,26,0,14,28-28
30.11,57.34,25.96,Đất mùn,Các loại đậu,44,0,0,10-26-26
27.71,61.57,28.73,Đất mùn,Cây mía,14,18,12,17-17-17
32.34,57.71,24.9,Đất mùn,Cây bắp,6,11,33,DAP
38.2,60.72,31.82,Đất cát,Cây chè,11,3,39,28-28
38.64,77.51,43.0,Đất cát,Cây đậu phộng (Lạc),40,4,0,DAP
27.61,69.47,34.64,Đất thịt tơi xốp,Cây bắp,6,0,8,Urea
29.73,65.44,62.54,Đất cát,Cây lúa,9,10,25,17-17-17
24.65,57.12,52.24,Đất mùn,Các loại hạt (hạt mè, hạt  cải),9,3,36,DAP
24.61,59.11,55.45,Đất sét,Các loại hạt (hạt mè, hạt  cải),7,0,6,DAP
27.55,50.87,37.69,Đất mùn,Cây chuối,24,0,21,14-35-14
27.77,68.01,52.99,Đất thịt tơi xốp,Cây bông,16,0,30,Urea
31.08,59.06,47.05,Đất cát,Cây chè,39,0,1,14-35-14
27.26,62.16,33.59,Đất thịt tơi xốp,Cây đậu phộng (Lạc),11,8,25,28-28
24.69,55.52,22.39,Đất sét,Khoai tây,13,1,44,14-35-14
33.35,65.13,26.44,Đất sét,Cây chuối,37,0,0,14-35-14
33.4,49.71,50.01,Đất sét,Cây mía,25,4,20,20-20
32.29,62.66,37.32,Đất sét,Cây đậu phộng (Lạc),2,8,32,Urea
